约分
简单的等量代换问题
数字编码
找次品
有余数的除法应用题
百分率应用题
存款利息与纳税相关问题
公因数和公倍数应用题
根据情景选择合适的计量单位
进率与换算
时、分、秒及其关系、单位换算与计算
年、月、日及其关系、单位换算与计算
货币、人民币及其常用单位
货币、人民币的单位换算
质量及质量的常用单位
质量的单位换算
长度及长度的常用单位
长度的单位换算
面积和面积单位
小面积单位间的进率及单位换算
体积、容积及其单位
体积、容积进率及单位换算
计量单位中单复名数的改写
日期和时间的推算
计数单位
年、闰年的判断方法
大面积单位间的进率及单
用字母表示数
含字母式子的求值
等式的意义
方程的意义
方程与等式的关系
方程需要满足的条件
方程的解和解方程
不等式的意义及解法
比的意义
比的读法、写法及各部分的名称
比与分数、除法的关系
比的性质
求比值和化简比
比例的意义和基本性质
正比例和反比例的意义
解比例
比例的应用
比的应用
辨识成正比例的量与成反比
算术中的规律
数列中的规律
式”的规律
数与形结合的规律
数表中的规律
事物的间隔排列规律
事物的简单搭配规律
简单周期现象中的规律
简单图形覆盖现象中的规律
通过操作实验探索规律
平面图形的分类及识别
图形的拼组
四边形的特点、分类及识别
角的概念及其分类
角的画法
直线、线段和射线的认识
垂直与平行的特征及性质
平行四边形的特征及性质
长方形的特征及性质
正方形的特征及性质
梯形的特征及分类
三角形的特性
三角形的分类
三角形的内角和
立体图形的分类及识别
长方体的特征
正方体的特征
的认识与圆周率
圆柱的特征
圆锥的特征
长方体的展开图
正方体的展开图
圆柱的展开图
等腰三角形与等边三角形
从不同方向观察物体和几何体
简单图形的折叠问题
图形的密铺
简单的立方体切拼问题
线段与角的综合
两点间线段最短与两点
长度的测量方法
角的度量
画指定度数的角
用三角尺画30°，45°，60°，90°角
探索某些实物体积的测量方法
估测
过直线上或直线外一点作直线的垂线
过直线外一点作已知直线的平行线
作平行四边形的高
作梯形的高
作三角形的高
作轴对称图形
画轴对称图形的对称轴
画指定面积的长方形、正方形、三角形
画指定周长的长方形、正方形
画指定长、宽（边长）的长方形、正方形
作平移后的图形
旋转一定角度后的图形
作最短线路图
作简单图形的三视图
画圆
长方形的周长
正方形的周长
梯形的周长
圆、圆环的周长
长方形、正方形的面积
平行四边形的面积
三角形的周长和面积
梯形的面积
圆、圆环的面积
组合图形的面积
长方体和正方体的表面积
长方体和正方体的体积
圆柱的侧面积、表面积和体积
圆锥的体积
组合图形的体积
球的球面面积和体积
立体图形的容积
扇形的面积
长度、周长的估算
面积及面积的大小比较
弧长
轴对称
镜面对称
平移
旋转
确定轴对称图形的对称轴条数及位置
轴对称图形的辨识
图形的放大与缩小
将简单图形平移或旋转一定的度数
运用平移、对称和旋转设计
位置
数对与位置
在平面图上标出物体的位置
方向
路线图
根据方向和距离确定物体的位置
比例尺
图上距离与实际距离的换算（比例尺的应用）
应用比例尺画图
物体的比较、排列和分类
简单的排列、组合
简单的统计表
复式统计表
以一当二的条形统计图
以一当五（或以上）的条形统计图
两种不同形式的单式条形统计图
两种不同形式的复式条形统计图
平均数的含义及求平均数的方法
众数的意义及求解方法
单式折线统计图
复式折线统计图
扇形统计图
简单调查表的设计
统计图的选择
中位数的意义及求解方法
平均数、中位数、众数的异同及运用
统计量的选择
从统计图表中获取信息
设计统计活动
统计结果的解释和据此作出的判断和预测
统计图表的填补
统计图的特点
统计图表的综合分析、解释和应用
绘制条形统计图
绘制扇形统计图
事件的确定性与不确定性
可能性的大小
事件发生的可能性大小语言描述
概率的认识
游戏规则的公平性
简单事件发生的可能性求解
预测简单事件发生的可能性及理由阐述
生活中的可能性现象
数学常识
加减法中的巧算
乘除法中的巧算
小数的巧算
分数的巧算
四则混合运算中的巧算
带分数与假分数的互化
循环小数及其分类
繁分数的化简
连分数（特殊的繁分数）
乘方
比较大小
估计与估算
定义新运算
高斯取整
乘积的个位数
等差数列
等比数列
裴波那契数列
高斯求和
页码问题
数字串问题
填符号组算式
横式数字谜
竖式数字谜
横式与竖式的互换
凑数谜
相等和值问题
数列分组
幻方
奇阶幻方问题
偶阶幻方问题
二进制位值原则
二进制数与十进制数的互相转化
二进制的运算
其它进制问题
数字问题
奇偶性问题
质数与合数
因数与倍数
整数的裂项与拆分
位值原则
数的整除特征
整除性质
带余除法
唯一分解定理
约数个数与约数和定理
同余定理
完全平方数性质
孙子定理（中国剩余定理）
辗转相除法
数字和问题
等量关系与方程
二元一次方程组的求解
不定方程的分析求解
不等方程的分析求解
加法原理
乘法原理
容斥原理
抽屉原理
握手问题
排队论问题
烙饼问题
沏茶问题
田忌赛马问题
分数的大小比较
分数的拆项
分数的最大公约数和最小公倍数
循环小数与分数
巧算分数和
分数和百分数应用题（多重条件）
按比例分配
正、反比例
工程问题
利润和利息问题
浓度问题
折扣问题
相遇问题
追及问题
流水行船问题
多次相遇问题
环形跑道问题
钟面上的追及问题
列车过桥问题
发车间隔问题
错车问题
归一归总问题
和差问题
和倍问题
差倍问题
植树问题
方阵问题
年龄问题
鸡兔同笼
牛吃草问题
平均数问题
盈亏问题
逆推问题
代换问题
周期性问题
简单统计问题
最优化问题
组合图形的计数
长度比较
巧算周长
图形的拆拼（切拼）
等积变形（位移、割补）
多边形的内角和
三角形面积与底的正比关系
相似三角形的性质（份数、比例）
燕尾定理
差不变原理
规则立体图形的表面积
规则立体图形的体积
不规则立体图形的表面积
数阵图中找规律的问题
体积的等积变形
三视图与展开图
最短线路问题
染色问题
圆与组合图形
格点面积（毕克定理）
最大与最小
钱币问题
时间与钟面
逻辑推理
最佳方法问题
最佳对策问题
简单规划问题
重叠问题
图形划分
数字分组
排列组合
筛选与枚举
一笔画定理
哈密尔顿圈与哈密尔顿链
多笔画定理
火柴棒问题
智力问题
临时考点
